"","age","gender","years_edu"
"1",23,"Feminin",14
"2",31,"Masculin",17
"3",21,"Feminin",14
"4",21,"Masculin",13
"5",24,"Masculin",16
"6",21,"Feminin",15
"7",25,"Feminin",19
"8",33,"Masculin",20
"9",21,"Masculin",15
"10",24,"Feminin",17
"11",20,"Feminin",14
"12",24,"Feminin",17
"13",22,"Feminin",15
"14",20,"Feminin",14
"15",24,"Masculin",4
"16",20,"Feminin",14
"17",24,"Masculin",16
"18",23,"Feminin",17
"19",21,"Feminin",14
"20",25,"Masculin",18
"21",22,"Feminin",15
"22",20,"Feminin",13
"23",20,"Masculin",13
"24",20,"Masculin",13
"25",20,"Masculin",13
"26",24,"Feminin",15
"27",21,"Feminin",14
"28",21,"Masculin",14
"29",25,"Masculin",16
"30",25,"Masculin",17
"31",20,"Feminin",14
"32",27,"Masculin",16
"33",26,"Feminin",20
"34",26,"Feminin",3
"35",23,"Masculin",6
"36",25,"Masculin",1
"37",23,"Feminin",15
"38",22,"Feminin",13
"39",35,"Feminin",21
"40",23,"Feminin",16
"41",28,"Masculin",7
"42",21,"Masculin",13
"43",26,"Masculin",6
"44",31,"Masculin",19
"45",27,"Masculin",16
"46",23,"Masculin",14
"47",22,"Feminin",3
"48",25,"Feminin",4
"49",27,"Masculin",21
"50",23,"Feminin",20
"51",43,"Feminin",5
"52",28,"Feminin",19
"53",23,"Feminin",16
"54",25,"Feminin",18
"55",19,"Feminin",14
"56",30,"Feminin",25
"57",25,"Feminin",14
"58",25,"Feminin",13
"59",20,"Feminin",13
"60",22,"Feminin",13
"61",22,"Feminin",14
"62",27,"Feminin",16
"63",24,"Feminin",15
"64",23,"Feminin",14
"65",19,"Feminin",12
"66",21,"Feminin",12
"67",24,"Feminin",16
"68",24,"Feminin",15
"69",24,"Masculin",16
"70",21,"Masculin",13
"71",18,"Masculin",13
"72",22,"Masculin",13
"73",20,"Feminin",13
"74",33,"Masculin",12
"75",23,"Masculin",16
"76",19,"Feminin",13
"77",27,"Masculin",17
"78",20,"Feminin",15
"79",23,"Feminin",14
"80",25,"Masculin",17
"81",26,"Masculin",17
"82",30,"Feminin",21
"83",64,"Masculin",25
"84",23,"Masculin",17
"85",30,"Feminin",18
"86",22,"Masculin",15
"87",35,"Feminin",17
"88",23,"Feminin",17
"89",25,"Masculin",12
"90",23,"Masculin",16
"91",27,"Feminin",17
"92",28,"Masculin",19
"93",20,"Masculin",14
"94",26,"Masculin",17
"95",20,"Feminin",14
"96",25,"Feminin",18
"97",26,"Masculin",17
"98",21,"Feminin",14
"99",21,"Feminin",13
"100",21,"Feminin",13
"101",20,"Masculin",14
"102",23,"Masculin",15
"103",23,"Feminin",16
"104",22,"Feminin",15
"105",23,"Feminin",20
"106",21,"Masculin",15
"107",30,"Feminin",18
"108",24,"Masculin",15
"109",20,"Masculin",13
"110",23,"Masculin",16
"111",19,"Feminin",13
"112",25,"Masculin",13
"113",25,"Feminin",18
"114",25,"Feminin",17
"115",23,"Feminin",16
"116",21,"Masculin",6
"117",25,"Masculin",6
"118",23,"Masculin",7
"119",20,"Feminin",6
"120",23,"Masculin",15
"121",23,"Masculin",15
"122",23,"Masculin",15
"123",23,"Masculin",15
"124",19,"Feminin",13
"125",22,"Feminin",15
"126",19,"Feminin",14
"127",28,"Masculin",17
"128",23,"Masculin",16
"129",23,"Feminin",15
"130",23,"Feminin",14
"131",27,"Feminin",19
"132",21,"Feminin",16
"133",23,"Masculin",14
"134",25,"Masculin",15
"135",24,"Masculin",17
"136",54,"Masculin",20
"137",25,"Masculin",17
"138",27,"Masculin",17
"139",20,"Feminin",14
"140",23,"Masculin",14
"141",22,"Masculin",15
