"","maia_1","maia_2","maia_3","maia_4","maia_5","maia_6","maia_7","maia_8","maia_9","maia_10","maia_11","maia_12","maia_13","maia_14","maia_15","maia_16","maia_17","maia_18","maia_19","maia_20","maia_21","maia_22","maia_23","maia_24","maia_25","maia_26","maia_27","maia_28","maia_29","maia_30","maia_31","maia_32","maia_33","maia_34","maia_35","maia_36","maia_37"
"1",1,4,3,2,3,3,3,2,1,3,2,1,3,3,1,1,1,3,3,1,2,2,1,1,3,2,3,1,1,1,1,3,0,4,4,5,4
"2",4,4,4,2,2,1,3,3,2,3,1,3,2,3,5,2,3,3,3,2,2,3,4,4,5,2,4,1,2,1,3,1,2,2,2,3,3
"3",3,5,1,5,1,1,4,4,3,2,5,5,1,1,4,1,1,5,1,1,0,0,3,5,5,4,5,1,5,5,3,2,5,1,3,3,3
"4",1,2,0,4,5,3,4,5,4,2,1,2,2,2,3,2,2,3,3,3,3,2,1,4,2,2,2,1,3,4,2,2,1,3,2,3,5
"5",1,4,1,4,3,2,5,3,4,4,0,3,1,1,3,4,3,2,2,3,2,3,2,4,2,3,1,2,1,4,4,2,1,1,1,3,3
"6",2,4,4,4,5,5,5,4,3,2,3,1,4,3,1,2,2,4,3,3,3,2,4,3,3,4,3,1,2,2,1,2,2,2,1,1,2
"7",4,5,2,5,3,1,1,1,3,2,3,3,2,2,3,4,4,2,4,2,3,3,4,3,0,3,1,1,2,3,0,2,1,2,1,2,2
"8",3,5,4,3,2,2,3,4,1,2,3,1,4,3,3,2,4,1,5,5,4,4,5,5,4,4,4,2,1,3,2,4,5,1,2,3,3
"9",2,5,1,4,0,3,2,0,3,4,4,2,1,1,5,3,0,4,3,5,3,4,3,5,5,4,5,1,2,0,0,0,1,0,4,4,5
"10",4,5,4,5,1,5,3,1,4,5,5,2,3,2,1,4,5,5,5,4,3,3,4,3,5,5,5,3,4,5,5,3,4,2,5,5,3
"11",5,4,5,3,3,1,1,0,1,1,4,4,3,3,2,3,1,0,3,2,2,4,4,5,5,5,4,1,5,5,5,5,4,3,4,2,3
"12",3,4,4,4,3,3,2,3,3,4,3,2,3,2,3,3,3,3,2,3,3,3,1,4,5,5,4,3,3,3,4,2,1,2,2,2,3
"13",4,5,4,4,2,4,4,3,4,4,2,4,4,4,2,3,3,4,4,4,4,4,3,5,4,4,4,4,2,4,2,4,4,4,5,5,5
"14",4,4,3,4,5,4,5,5,4,5,2,2,4,4,1,2,3,2,3,3,1,2,4,3,4,4,4,1,4,3,1,2,2,1,3,3,2
"15",1,2,1,3,2,2,1,2,2,2,2,1,1,2,2,3,1,3,3,2,2,1,0,1,1,2,1,2,1,2,0,0,0,0,0,0,0
"16",4,2,1,5,3,4,4,3,4,2,5,3,3,3,1,2,2,3,4,3,1,1,4,2,4,2,1,0,1,0,1,2,0,3,4,4,4
"17",0,3,0,2,2,4,2,2,4,2,1,3,4,2,1,3,1,0,4,4,2,3,0,0,4,3,3,3,3,4,2,1,1,1,3,3,1
"18",3,4,4,4,3,4,3,2,2,2,4,4,3,3,3,4,4,3,3,2,3,3,4,4,4,4,4,2,2,2,2,3,2,2,2,3,3
"19",3,4,4,4,2,3,4,3,4,4,1,3,1,4,4,2,2,3,2,2,2,4,3,3,4,5,4,3,4,4,3,4,2,4,3,4,3
"20",3,4,4,3,4,4,5,2,2,1,0,2,4,4,1,5,4,5,4,4,4,3,1,1,4,1,1,1,1,0,0,0,0,0,5,5,3
