"","mw_body","mw_tummy","mw_breath","mw_sleepy","mw_hb","mw_bladder","mw_1","mw_2","mw_3","mw_4","mw_5","mw_6","mw_7","mw_8","mw_9","mw_10","mw_11","mw_12","mw_13","mw_14","mw_15","mw_16","mw_17","mw_18","mw_19","mw_20","mw_21","mw_22","mw_23"
"1",2,1,1,7,2,9,4,6,3,7,5,6,8,1,8,2,6,4,8,9,6,6,8,3,7,8,6,3,3
"2",6,6,6,5,6,6,7,6,6,5,6,6,6,6,5,7,6,5,6,6,5,6,5,6,6,6,6,6,6
"3",1,1,1,1,1,1,1,4,5,7,6,4,10,4,3,1,1,8,7,8,2,8,8,3,1,2,6,1,5
"4",1,1,8,6,1,10,5,2,3,5,2,10,9,3,2,4,9,8,10,10,10,10,9,4,4,5,2,8,10
"5",1,1,1,6,1,1,1,2,9,5,5,1,1,1,8,1,5,5,5,5,3,5,5,5,8,8,4,6,3
"6",2,2,2,6,1,1,2,3,6,6,3,1,1,2,2,1,1,1,2,1,5,3,2,2,2,2,4,3,1
"7",1,1,2,3,2,1,2,3,5,2,3,1,7,5,6,7,2,1,2,2,8,8,2,9,7,2,7,1,2
"8",1,1,1,8,1,1,1,2,1,1,2,1,1,1,8,1,1,1,1,1,5,1,1,1,9,1,9,9,1
"9",1,1,1,6,1,1,7,10,3,1,10,10,1,1,8,1,7,10,4,8,10,7,2,3,2,9,9,3,10
"10",2,1,1,3,1,1,1,1,3,8,1,1,7,3,1,1,1,6,2,1,6,8,7,8,8,9,10,2,1
"11",7,1,2,3,1,1,8,8,10,4,3,6,10,10,6,2,9,5,9,8,6,4,6,4,6,10,7,7,4
"12",5,7,7,9,6,2,5,4,4,6,6,2,3,4,8,6,10,3,10,8,5,5,2,5,5,2,5,2,8
"13",2,4,1,6,1,1,4,5,7,4,4,6,7,7,5,4,7,4,7,7,8,8,8,7,8,5,8,5,3
"14",3,6,4,6,6,1,4,8,3,2,7,4,7,7,2,4,5,8,8,7,6,8,2,1,1,7,8,3,4
"15",5,9,1,7,1,1,9,4,7,7,4,7,3,7,10,5,8,3,8,7,4,5,8,5,6,5,8,2,8
"16",5,7,3,1,1,1,7,4,6,2,5,3,9,1,5,1,1,7,5,7,8,4,6,1,3,4,7,3,8
"17",1,1,1,1,1,1,3,1,7,6,3,2,5,6,3,1,5,5,7,7,3,4,1,2,2,4,1,2,2
"18",5,3,4,8,2,2,5,4,5,6,4,4,6,6,7,3,8,5,5,6,4,8,4,3,4,6,6,7,6
"19",6,1,1,9,3,3,3,4,5,4,4,4,6,2,6,3,4,6,7,5,5,7,5,2,4,3,6,3,8
"20",1,1,1,1,1,1,1,3,6,2,7,8,3,5,10,1,8,8,2,2,5,5,8,2,4,5,2,1,2
"21",1,1,3,8,1,1,2,2,1,3,2,1,5,2,8,1,1,1,3,1,8,3,8,5,7,6,7,3,2
"22",1,6,3,10,1,1,1,1,1,1,1,1,3,2,1,3,3,3,3,3,6,3,7,2,1,4,4,5,1
"23",1,3,1,9,1,1,1,2,7,8,5,2,5,3,5,5,5,5,2,7,7,6,7,3,1,3,3,2,2
"24",2,4,1,1,1,1,2,6,9,4,2,7,2,4,3,1,8,7,10,10,8,8,4,1,8,6,7,4,4
"25",2,7,3,8,1,1,2,2,7,1,5,1,2,9,2,1,1,1,5,1,5,1,6,1,1,5,1,2,1
"26",8,9,2,4,1,4,5,8,5,5,6,5,8,3,4,4,7,6,9,6,4,5,3,3,1,8,4,1,4
"27",1,7,1,7,1,4,1,2,8,1,5,1,9,9,7,2,2,1,3,3,6,5,7,5,4,2,8,3,1
"28",1,4,1,1,1,1,2,3,7,7,3,3,9,4,3,1,1,8,8,8,7,2,9,1,2,3,3,3,2
