sID;exclude;task_order;Age;Gender;"YearsEdu
"
1;0;MVT;23;Feminin;14
2;0;VTM;25;Feminin;19
3;0;TMV;21;Masculin;13
4;0;TVM;21;Feminin;15
5;0;MTV;21;Feminin;14
6;0;VMT;33;Masculin;20
7;0;MVT;31;Masculin;17
8;0;VTM;24;Masculin;16
9;0;TMV;24;Feminin;17
10;0;TVM;20;Feminin;14
11;0;MTV;24;Masculin;16
12;0;VMT;24;Feminin;17
13;0;MVT;20;Feminin;14
14;0;VTM;20;Feminin;14
15;0;TMV;21;Masculin;15
16;0;TVM;22;Feminin;15
17;0;MTV;24;Masculin;4
18;0;VMT;20;Masculin;13
19;0;MVT;23;Feminin;17
20;0;VTM;22;Feminin;15
21;0;TMV;24;Feminin;15
22;0;TVM;25;Masculin;17
23;0;MTV;20;Feminin;13
24;0;VMT;20;Masculin;13
25;0;MVT;25;Masculin;16
26;0;VTM;21;Masculin;14
27;0;TMV;20;Feminin;14
28;0;TVM;35;Feminin;21
29;0;MTV;21;Feminin;14
30;0;VMT;21;Feminin;14
31;0;MVT;20;Masculin;13
32;0;VTM;25;Masculin;18
33;0;TMV;23;Feminin;15
34;0;TVM;26;Feminin;20
35;0;MTV;26;Feminin;3
36;0;VMT;28;Masculin;7
37;0;MVT;23;Feminin;16
38;0;VTM;21;Masculin;13
39;0;TMV;25;Masculin;1
40;0;TVM;22;Feminin;13
41;0;MTV;27;Masculin;16
42;0;VMT;23;Masculin;6
43;0;MVT;43;Feminin;5
44;0;VTM;23;Feminin;20
45;0;TMV;22;Feminin;3
46;0;TVM;25;Feminin;4
47;0;MTV;31;Masculin;19
48;0;VMT;23;Masculin;14
49;0;MVT;27;Masculin;16
50;0;VTM;26;Masculin;6
51;0;TMV;25;Feminin;18
52;0;TVM;27;Masculin;21
53;1;;31;Feminin;15
53;1;;23;Feminin;16
54;0;VMT;23;Feminin;16
55;0;MVT;23;Feminin;14
56;0;VTM;21;Feminin;12
57;0;TMV;28;Feminin;19
58;0;"TVM
";22;Feminin;14
60;0;VMT;22;Feminin;13
61;0;MVT;24;Feminin;16
62;0;VTM;19;Feminin;14
63;1;;24;Feminin;15
63;0;TMV;24;Feminin;15
64;0;TVM;20;Feminin;13
65;0;MTV;19;Feminin;12
66;0;VMT;27;Feminin;16
67;0;MVT;30;Feminin;25
68;0;VMT;25;Feminin;13
69;0;MTV;25;Feminin;14
70;0;TVM;18;Masculin;13
71;0;MTV;23;Feminin;14
72;0;VMT;33;Masculin;12
73;0;MVT;30;Feminin;21
74;0;VTM;20;Feminin;15
75;0;TMV;24;Masculin;16
76;0;TVM;25;Masculin;17
77;0;MVT;21;Masculin;13
78;0;VMT;22;Masculin;13
79;0;MVT;20;Feminin;13
80;0;VTM;26;Masculin;17
81;0;TMV;64;Masculin;25
82;0;TVM;19;Feminin;13
83;0;MTV;23;Masculin;16
84;0;VMT;27;Masculin;17
85;0;MVT;30;Feminin;18
86;0;VTM;22;Masculin;15
87;0;TMV;27;Feminin;17
88;0;TVM;23;Masculin;17
89;0;MTV;35;Feminin;17
90;0;MVT;20;Masculin;14
91;0;MVT;23;Feminin;17
92;0;VTM;26;Masculin;17
93;0;MVT;26;Masculin;17
94;0;TMV;28;Masculin;19
95;0;MTV;21;Feminin;13
96;0;VMT;25;Feminin;18
97;0;MVT;20;Masculin;14
98;0;VTM;25;Masculin;12
99;0;TMV;23;Masculin;16
100;0;TVM;23;Feminin;20
101;0;MTV;20;Feminin;14
102;0;VMT;21;Feminin;14
103;1;;22;Masculin;2
104;0;VTM;30;Feminin;18
105;0;TMV;22;Feminin;15
106;0;VMT;21;Masculin;15
107;0;MTV;23;Feminin;16
108;1;;23;Feminin;16
109;0;MVT;21;Feminin;13
110;0;VTM;23;Masculin;15
111;0;TMV;25;Feminin;17
112;0;TVM;24;Masculin;15
113;0;MTV;19;Feminin;13
114;0;VMT;25;Masculin;13
115;0;MVT;20;Feminin;14
116;0;VTM;20;Masculin;13
117;0;TMV;20;Feminin;6
118;0;TVM;25;Feminin;18
119;0;MTV;23;Masculin;7
120;0;VMT;23;Masculin;15
121;0;MVT;23;Masculin;16
122;0;MVT;21;Masculin;6
123;0;VTM;23;Masculin;15
124;0;TMV;23;Feminin;16
125;0;TVM;25;Masculin;6
126;0;MTV;19;Feminin;14
127;0;VMT;28;Masculin;17
128;0;MVT;23;Masculin;16
129;0;VTM;23;Feminin;15
130;0;TMV;23;Masculin;15
131;0;MVT;19;Feminin;1
132;0;MTV;22;Feminin;15
133;0;VMT;19;Feminin;13
134;0;MVT;28;Masculin;17
135;0;VTM;23;Masculin;14
136;0;TMV;23;Feminin;14
137;0;TVM;27;Feminin;19
138;0;MTV;25;Masculin;15
139;0;VMT;21;Feminin;16
140;0;MVT;24;Masculin;17
141;0;VTM;54;Masculin;20
142;0;TMV;22;Masculin;15
143;0;TVM;23;Masculin;14
144;0;MTV;27;Masculin;17
145;0;VMT;25;Masculin;17
