"","subject","modality","da","mda","mratio","c"
"1",1,"memory",1.60501219644512,1.37013124518471,0.853657840245303,0.103222795839342
"2",1,"Calories",0.976404976186492,0.573698376908522,0.587561914267576,0.0286442395593636
"3",1,"GDP",0.550496372354464,0.803810696174019,1.46015620908841,0.0152585849461618
"4",1,"vision",0.989298434358392,-0.0837429875465488,-0.0846488629094619,-0.32953293681718
"5",2,"memory",1.15019878114923,1.13000796245167,0.982445800649007,0.24753790049945
"6",2,"Calories",0.341115387447909,0.649645392634301,1.90447401829244,0.0132470091137838
"7",2,"GDP",0.541629659966306,0.619276969551315,1.14335867350735,0.0378509757117808
"8",2,"vision",1.1524575478042,1.1096248938995,0.962833638439596,-0.072263406690756
"9",3,"memory",0.286542036180601,0.630722604794734,2.20115210041016,0.308387298452316
"10",3,"Calories",0.434544036149708,0.572552460577081,1.31759364516932,0.0126120995043781
"11",3,"GDP",0.79641784226732,0.969114821659722,1.21684217784568,0
"12",3,"vision",0.888177414036178,1.18733501858048,1.33682190046337,-0.0500444803301243
"13",4,"memory",0.99122563556063,0.651315421962046,0.657080889149589,-0.0287876949277255
"14",4,"Calories",0.471145338210619,0.676092474940205,1.43499769626919,0.0830666948590655
"15",4,"GDP",0.618762958740987,0.58141882530803,0.939647108952769,-0.0507484124190758
"16",4,"vision",0.907785908278647,0.607233760575389,0.668917368112523,-0.0167005679547642
"17",5,"memory",1.62906974760845,1.28853206353862,0.790961875898954,0.152886692297475
"18",5,"Calories",0.685405675598428,0.828666801014909,1.20901654380291,0.141972058223567
"19",5,"GDP",0.319689489279,1.43613295315734,4.49227453926078,-0.0341833977844261
"20",5,"vision",0.703369777805476,0.345712328025323,0.491508647277895,-0.085793141022748
"21",6,"memory",1.44913015909921,1.95966528981892,1.35230453766628,0.00159288899227017
"22",6,"Calories",0.728041955253838,1.1002940173279,1.51130578311833,0.206710293016748
"23",6,"GDP",0.568318469384327,1.59507166580229,2.80665111505221,0.0676251102429926
"24",6,"vision",1.09441566743347,0.195844874106992,0.178949260262576,-0.0641184308003162
"25",7,"memory",0.282792957567641,0.429583276446529,1.51907345975466,-0.0958056305449673
"26",7,"Calories",0.235215402356939,0.293703146499761,1.2486560980138,0.156783786681567
"27",7,"GDP",0.780133058182533,0.015355363365008,0.0196830056154539,0.0714271651268916
