Timestamp;Sid;age;gender;years_edu;self_memory;self_visual;self_calories;self_gdp;maia_1;maia_2;maia_3;maia_4;maia_5;maia_6;maia_7;maia_8;maia_9;maia_10;maia_11;maia_12;maia_13;maia_14;maia_15;maia_16;maia_17;maia_18;maia_19;maia_20;maia_21;maia_22;maia_23;maia_24;maia_25;maia_26;maia_27;maia_28;maia_29;maia_30;maia_31;maia_32;maia_33;maia_34;maia_35;maia_36;maia_37
30/01/2020 11:19:46;996;44;Masculin;22;20;100;0;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
03/02/2020 09:23:52;1;23;Feminin;14;70;60;70;60;1;4;3;2;3;3;3;2;1;3;2;1;3;3;1;1;1;3;3;1;2;2;1;1;3;2;3;1;1;1;1;3;0;4;4;5;4
03/02/2020 09:24:40;7;31;Masculin;17;50;50;70;60;4;4;4;2;2;1;3;3;2;3;1;3;2;3;5;2;3;3;3;2;2;3;4;4;5;2;4;1;2;1;3;1;2;2;2;3;3
03/02/2020 09:24:57;5;21;Feminin;14;80;75;70;45;3;5;1;5;1;1;4;4;3;2;5;5;1;1;4;1;1;5;1;1;0;0;3;5;5;4;5;1;5;5;3;2;5;1;3;3;3
03/02/2020 09:25:12;3;21;Masculin;13;67;50;37;52;1;2;0;4;5;3;4;5;4;2;1;2;2;2;3;2;2;3;3;3;3;2;1;4;2;2;2;1;3;4;2;2;1;3;2;3;5
03/02/2020 09:25:37;8;24;Masculin;16;65;75;80;50;1;4;1;4;3;2;5;3;4;4;0;3;1;1;3;4;3;2;2;3;2;3;2;4;2;3;1;2;1;4;4;2;1;1;1;3;3
03/02/2020 09:27:20;4;21;Feminin;15;60;90;70;60;2;4;4;4;5;5;5;4;3;2;3;1;4;3;1;2;2;4;3;3;3;2;4;3;3;4;3;1;2;2;1;2;2;2;1;1;2
03/02/2020 09:27:26;2;25;Feminin;19;45;85;60;35;4;5;2;5;3;1;1;1;3;2;3;3;2;2;3;4;4;2;4;2;3;3;4;3;0;3;1;1;2;3;0;2;1;2;1;2;2
03/02/2020 09:27:46;6;33;Masculin;20;85;60;75;85;3;5;4;3;2;2;3;4;1;2;3;1;4;3;3;2;4;1;5;5;4;4;5;5;4;4;4;2;1;3;2;4;5;1;2;3;3
03/02/2020 11:39:59;15;21;Masculin;15;25;20;68;85;2;5;1;4;0;3;2;0;3;4;4;2;1;1;5;3;0;4;3;5;3;4;3;5;5;4;5;1;2;0;0;0;1;0;4;4;5
03/02/2020 11:40:27;12;24;Feminin;17;85;80;90;70;4;5;4;5;1;5;3;1;4;5;5;2;3;2;1;4;5;5;5;4;3;3;4;3;5;5;5;3;4;5;5;3;4;2;5;5;3
03/02/2020 11:41:20;10;20;Feminin;14;60;60;65;65;5;4;5;3;3;1;1;0;1;1;4;4;3;3;2;3;1;0;3;2;2;4;4;5;5;5;4;1;5;5;5;5;4;3;4;2;3
03/02/2020 11:41:24;9;24;Feminin;17;25;40;60;30;3;4;4;4;3;3;2;3;3;4;3;2;3;2;3;3;3;3;2;3;3;3;1;4;5;5;4;3;3;3;4;2;1;2;2;2;3
03/02/2020 11:41:34;16;22;Feminin;15;90;70;70;50;4;5;4;4;2;4;4;3;4;4;2;4;4;4;2;3;3;4;4;4;4;4;3;5;4;4;4;4;2;4;2;4;4;4;5;5;5
03/02/2020 11:41:54;13;20;Feminin;14;70;60;70;80;4;4;3;4;5;4;5;5;4;5;2;2;4;4;1;2;3;2;3;3;1;2;4;3;4;4;4;1;4;3;1;2;2;1;3;3;2
03/02/2020 11:42:14;17;24;Masculin;4;40;20;5;5;1;2;1;3;2;2;1;2;2;2;2;1;1;2;2;3;1;3;3;2;2;1;0;1;1;2;1;2;1;2;0;0;0;0;0;0;0
03/02/2020 11:42:20;14;20;Feminin;14;78;86;74;65;4;2;1;5;3;4;4;3;4;2;5;3;3;3;1;2;2;3;4;3;1;1;4;2;4;2;1;0;1;0;1;2;0;3;4;4;4
