Country Name,2010,2011,2012,2013,2014,2015,2016,2017,average
Burundi,231.7955369,247.2293791,250.3627366,255.372691,273.538285,304.3742207,281.1813376,292.0052103,266.9824247
Malawi,458.8654301,512.170232,374.5029326,332.9210249,354.3189898,362.6581977,300.3077488,338.4844303,379.2786233
Niger,348.1560591,375.5828559,391.5182495,416.1401152,429.7909578,362.7521977,364.1605078,378.0592523,383.2700244
Central African Republic,446.4436878,490.5103907,483.1860932,337.484979,377.1321263,348.3814271,382.0702811,418.411287,410.452534
Madagascar,412.7309341,454.963464,443.9061001,461.7230722,452.4631926,402.0883118,401.7422654,449.7223819,434.9174653
"Congo, Dem. Rep.",334.2317025,387.3235796,424.8593185,458.2384062,487.0814869,497.6297557,471.6359456,462.7795441,440.4724674
Somalia,,,,493.5141459,485.6020611,478.784799,472.2726933,478.3441749,481.7035748
Mozambique,419.2258149,526.5313517,566.051387,605.9856082,623.2867539,528.3130512,380.9073058,426.2219619,509.5654043
Ethiopia,341.3099092,354.8463544,468.5067249,502.1535887,571.1622759,645.4650067,712.87795,767.5634778,545.4856609
Sierra Leone,399.1543676,445.052005,561.8984239,710.8186998,708.4394757,582.9362031,480.7930211,499.5291033,548.5776624
Togo,526.8410724,579.0130763,564.6971486,613.4402094,632.0313104,563.4753638,586.0522537,610.1517301,584.4627706
Afghanistan,550.514974,599.2976298,648.5110696,647.9664605,625.3395388,590.0764738,549.5827599,550.0684588,595.1696706
Uganda,595.2061732,574.9195768,636.6382045,655.0495315,702.795104,675.1211397,581.7027729,606.4684535,628.4876195
Guinea-Bissau,545.7041208,688.1412395,603.9339835,621.9406736,610.4684902,591.8061497,648.8989366,723.6094119,629.3128757
"Gambia, The",562.4837817,514.3781619,504.9739367,735.2358088,656.496763,704.9740416,707.5289845,709.077158,636.8935795
Burkina Faso,575.4464527,666.8404101,673.8228182,699.781537,703.8216565,575.3144542,583.8308982,642.0371483,640.1119219
Liberia,506.0630046,589.1650146,650.7136207,715.5370459,716.0529087,706.0594659,710.4360094,694.3195828,661.0433316
Rwanda,563.4013453,624.1228849,679.8607504,688.8223493,706.5967098,711.7739773,711.1957913,748.2920943,679.2582378
Guinea,634.9231054,614.8647662,677.0434993,726.0893942,743.5912878,727.302519,701.3886423,823.4937155,706.0871162
Nepal,592.1835216,692.1166842,681.7925868,688.6172788,706.2386977,747.1604624,730.9833283,849.0110426,711.0129503
Low income,643.0245885,710.1619791,748.670407,801.9480726,837.9750881,803.1267175,758.4738238,787.6614514,761.380266
Haiti,662.2795182,740.9358452,766.8437623,810.2656073,830.1138816,814.5463952,734.8025912,765.6839246,765.6839407
Mali,708.3707632,835.0889098,777.3476868,803.8935757,845.720641,749.9179512,778.6004251,827.0064008,790.7432942
Benin,757.6959074,825.9427854,837.9505001,915.3281554,943.686575,783.9630778,788.5324424,827.3936794,835.0616404
Tanzania,715.149284,750.2661326,831.9648282,929.1306273,985.2280595,905.7562921,922.623927,958.4456832,874.8206042
Chad,896.5697341,989.2363633,973.4702574,986.0103177,1025.998515,781.3310573,698.2108863,662.5001146,876.6659057
Heavily indebted poor countries (HIPC),752.2069758,817.3779355,853.8872708,928.4521242,954.7772843,920.8826027,906.6670256,972.247915,888.3123917
Tajikistan,738.3475227,834.5412953,954.7205253,1040.137412,1104.459019,918.8119145,795.9607475,801.0508713,898.5036634
Least developed countries: UN classification,786.8696875,887.309724,925.7072876,980.493393,1039.923181,1005.173124,984.0563074,1072.665601,960.2747882
IDA only,807.8821557,891.7189974,920.2194072,1000.687136,1051.962524,1049.545757,1047.768853,1125.769214,986.9442556
Cambodia,785.6928841,882.4901462,951.1112311,1013.665952,1093.762067,1163.18977,1269.907238,1384.423187,1068.03031
Bangladesh,757.6717572,835.7893401,856.342857,951.8894535,1084.56543,1210.158849,1358.779186,1516.51327,1071.463768
South Sudan,,1653.131588,1041.459694,1336.645256,1309.487381,917.9214739,237.4441185,,1082.681585
Kyrgyz Republic,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1220.473498,1150.790684
Myanmar,987.7365832,1186.423937,1175.561788,1171.464477,1260.418504,1138.992976,1196.103204,1256.660675,1171.670268
Zimbabwe,854.8476653,980.2088242,1163.418689,1268.126633,1264.983826,1265.294413,1272.33545,1333.395663,1175.326395
Lesotho,1157.341092,1350.643252,1281.611508,1192.998766,1218.466106,1154.355219,1054.268754,1154.444246,1195.516118
Kenya,967.3504549,987.4453967,1155.020583,1229.101069,1335.123148,1355.055471,1462.503743,1594.834926,1260.804349
Mauritania,1201.756291,1389.67101,1365.777822,1450.577949,1326.668654,1158.256371,1101.901627,1136.764591,1266.421789
IDA total,1060.810205,1183.070067,1247.763811,1340.739352,1414.656567,1358.552018,1293.034796,1326.450177,1278.134624
Senegal,1255.402738,1344.177217,1300.791844,1342.758689,1359.189351,1186.327514,1231.142595,1329.304228,1293.636772
Pakistan,1040.142268,1226.215314,1261.208967,1272.441061,1316.980966,1428.637628,1442.28584,1547.853414,1316.970682
Comoros,1315.214806,1446.068018,1403.434335,1504.931007,1511.826037,1271.057042,1287.406402,1312.333925,1381.533947
Cameroon,1309.122208,1429.647553,1380.509848,1493.746567,1571.182535,1353.92449,1391.751883,1451.865747,1422.718854
Cote d'Ivoire,1219.749096,1214.703946,1250.808924,1423.682282,1568.627628,1715.105518,1493.506061,1537.504031,1427.960936
"Yemen, Rep.",1309.23196,1349.42025,1421.171575,1580.181601,1647.033657,1693.907815,1320.924127,1106.803906,1428.584361
South Asia,1263.828366,1373.73465,1370.189137,1387.135899,1499.472711,1546.44764,1652.607405,1870.161523,1495.447166
South Asia (IDA & IBRD),1263.828366,1373.73465,1370.189137,1387.135899,1499.472711,1546.44764,1652.607405,1870.161523,1495.447166
Zambia,1463.213573,1644.619672,1734.930612,1850.793359,1738.088202,1313.889646,1262.989682,1513.276316,1565.225133
Sao Tome and Principe,1129.754961,1304.326189,1380.949959,1619.528517,1824.379217,1613.483465,1771.984789,1921.284473,1570.711446
Pre-demographic dividend,1369.146224,1556.208095,1666.736308,1772.864794,1842.740296,1575.345965,1390.382189,1433.813358,1575.904654
India,1361.203571,1461.671957,1446.98541,1452.195373,1576.004018,1606.952689,1729.70973,1979.364301,1576.760881
Djibouti,1325.990724,1430.986898,1536.150685,1477.363042,1595.146365,1761.610158,1872.234623,1927.589706,1615.884025
Kiribati,1520.875339,1736.211995,1784.428931,1705.56891,1626.893872,1522.306195,1558.886953,1594.29287,1631.183133
Fragile and conflict affected situations,1487.456477,1596.311287,1795.562095,1828.861316,1806.318884,1602.641823,1495.683294,1608.798658,1652.704229
Sub-Saharan Africa (excluding high income),1556.509329,1719.343483,1761.560045,1826.267882,1866.642912,1655.90775,1494.637474,1573.497227,1681.795763
Sub-Saharan Africa,1557.453562,1720.358244,1762.535536,1827.489658,1867.840726,1657.123451,1495.882001,1574.766606,1682.931223
Sub-Saharan Africa (IDA & IBRD countries),1557.453562,1720.358244,1762.535536,1827.489658,1867.840726,1657.123451,1495.882001,1574.766606,1682.931223
Uzbekistan,1377.08214,1564.966945,1740.468298,1907.551233,2050.448414,2137.576852,2117.74443,1533.852038,1803.711294
Ghana,1312.607557,1574.978653,1629.800222,2401.754122,1987.983363,1783.061087,1950.234377,2046.109986,1835.816171
IDA blend,1559.863381,1758.640866,1891.820852,2009.949426,2127.256266,1968.999911,1782.698199,1734.024323,1854.156653
Lao PDR,1141.127115,1381.425606,1588.633147,1838.80602,2017.587781,2159.433152,2338.692157,2457.377414,1865.385299
Vietnam,1310.370273,1515.479925,1722.683931,1871.325491,2012.04629,2065.169099,2170.648054,2342.244003,1876.245883
Solomon Islands,1290.572374,1728.50516,1928.956751,2004.899972,2036.942056,1965.422037,2056.489933,2132.115068,1892.987919
Nicaragua,1526.497938,1682.957924,1792.038045,1847.198049,1975.464707,2073.497938,2143.925893,2221.806445,1907.923367
Lower middle income,1680.636775,1870.071965,1932.20386,1988.370327,2063.064337,2019.852228,2071.074997,2209.062654,1979.292143
Moldova,1631.535832,1970.571373,2046.536787,2243.990178,2244.755308,1832.495194,1913.237414,2290.23515,2021.669654
Sudan,1476.478087,1666.857757,1892.894352,1955.660799,2176.898029,2513.884661,2415.038162,2898.549346,2124.532649
Honduras,1932.85829,2120.589469,2178.388555,2136.771718,2242.707459,2341.27532,2375.096327,2480.125929,2225.976633
"Congo, Rep.",2737.34233,3196.647524,2952.052348,2964.572989,2910.520226,1712.121146,1762.809913,1654.010322,2486.2596
Bhutan,2178.921383,2458.045976,2422.008016,2350.882889,2522.794953,2616.010343,2782.367967,3130.233543,2557.658134
Papua New Guinea,2004.818112,2474.061846,2865.873252,2800.169029,2973.270549,2605.945969,2353.511589,2488.899697,2570.818755
Nigeria,2291.360013,2519.289941,2745.866752,2996.964303,3221.678116,2729.762778,2175.656276,1968.425523,2581.125463
Philippines,2129.499247,2352.518156,2581.818548,2760.289146,2842.938353,2878.33837,2950.913903,2988.952703,2685.658553
West Bank and Gaza,2338.719877,2664.951385,2787.169738,2992.200995,2960.778004,2865.805109,2949.688085,3094.725747,2831.754867
Bolivia,1981.170116,2377.688771,2645.227753,2947.938526,3124.00031,3077.026199,3117.330459,3393.955818,2833.042244
Morocco,2834.20472,3039.916016,2904.746728,3111.762887,3160.250851,2863.887099,2885.487531,3022.92792,2977.897969
"Micronesia, Fed. Sts.",2861.771348,3000.948119,3150.910602,3047.584425,3057.24559,3018.008675,3143.749107,3187.556848,3058.471839
Ukraine,2965.142365,3569.757027,3855.42128,4029.715504,3104.658296,2124.662666,2187.731997,2639.824326,3059.614183
"Egypt, Arab Rep.",2602.479549,2747.480327,3181.441708,3213.389158,3327.754247,3547.713012,3479.281246,2412.727082,3064.033291
Vanuatu,2965.802434,3275.091684,3158.58688,3167.343056,3148.365103,2788.770919,2913.967232,3123.614591,3067.692737
